"","id","incident_year","incident_month","incident_day","operator_id","operator","aircraft","aircraft_type","aircraft_make","aircraft_model","aircraft_mass","engine_make","engine_model","engines","engine_type","engine1_position","engine2_position","engine3_position","engine4_position","airport_id","airport","state","faa_region","flight_phase","visibility","precipitation","height","speed","distance","species_id","species_name","species_quantity","flight_impact","damaged"
"17",3500,1993,10,12,"NWA","NORTHWEST AIRLINES","B-727","A","148",94,4,34,10,3,"D",5,6,5,NA,"KGTF","GREAT FALLS INTL","MT","ANM","TAKEOFF RUN","DAY",NA,0,NA,0,"UNKBS","UNKNOWN SMALL BIRD","2-10",NA,0
"18",19895,2005,4,2,"USCBP","US CUSTOMS AND BORDER PROTECTION","AEROS 350","B","31",15,2,43,1,1,"F",NA,NA,NA,NA,"KDMA","DAVIS MONTHAN AIR FORCE BASE","AZ","AWP","APPROACH","DAWN",NA,NA,NA,NA,"UNKB","UNKNOWN BIRD","1","NONE",0
"19",16670,1993,5,19,"MIL","MILITARY","C-130E","A","561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KMSP","MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN ARPT","MN","AGL","CLIMB","DAY",NA,10,100,NA,"UNKBM","UNKNOWN MEDIUM BIRD","2-10",NA,0
"20",28367,2013,6,4,"BUS","BUSINESS","CIRRUS SR 20/22","A","275",1,1,13,10,1,"A",7,NA,NA,NA,"KSFB","ORLANDO SANFORD INTL ARPT","FL","ASO","CLIMB","NIGHT","NONE",100,85,NA,"1C2","MICROBAT","1","NONE",0
"21",7867,2009,9,26,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KMSP","MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN ARPT","MN","AGL",NA,NA,NA,NA,NA,0,"N5111","KILLDEER","1",NA,0
"22",10054,2015,6,14,"DAL","DELTA AIR LINES","B-757-200","A","148",26,4,34,40,2,"D",1,1,NA,NA,"KSLC","SALT LAKE CITY INTL","UT","ANM","APPROACH","DAY","NONE",100,NA,NA,"Y","PERCHING BIRDS","1","NONE",0
"23",28105,2013,10,29,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PHTO","HILO INTL ARPT","HI","AWP",NA,NA,NA,NA,NA,0,"N5122","PACIFIC GOLDEN-PLOVER","2-10",NA,0
"24",16591,2013,10,2,"JBU","JETBLUE AIRWAYS","EMB-190","A","332",NA,4,22,4,2,"D",1,1,NA,NA,"KBOS","GENERAL EDWARD LAWRENCE LOGAN INTL ARPT","MA","ANE","LANDING ROLL","DAY","NONE",0,NA,0,"K5102","PEREGRINE FALCON","1","NONE",0
"25",26372,2005,9,14,"FDX","FEDEX EXPRESS","A-300","A","04A",1,4,22,7,2,"D",1,1,NA,NA,"KMEM","MEMPHIS INTL","TN","ASO","DESCENT",NA,NA,4400,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
"26",18966,1996,2,14,"USA","1US AIRWAYS","FOKKER F100","A","372",12,4,37,46,2,"D",5,5,NA,NA,"KCHA","LOVELL FIELD ARPT","TN","ASO","TAKEOFF RUN","DAWN","NONE",0,110,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"27",12216,2002,4,21,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KJFK","JOHN F KENNEDY INTL","NY","AEA",NA,NA,NA,NA,NA,0,"NE101","HERRING GULL","1",NA,0
"28",11301,2008,12,25,"AWE","US AIRWAYS","B-737-300","A","148",24,4,10,1,2,"D",1,1,NA,NA,"KORF","NORFOLK INTL","VA","AEA","TAKEOFF RUN","DAY","NONE",0,100,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"29",26670,1990,10,29,"MIL","MILITARY","T-37B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLBB","LUBBOCK PRESTON SMITH INTL ARPT","TX","ASW","LANDING ROLL","DAY",NA,0,85,0,"UNKBM","UNKNOWN MEDIUM BIRD","2-10",NA,0
"30",11023,2003,10,30,"COA","CONTINENTAL AIRLINES","B-737-800","A","148",43,4,10,1,2,"D",1,1,NA,NA,"KRNO","RENO TAHOE INTL","NV","AWP","APPROACH","DAY","NONE",100,140,NA,"YH004","HORNED LARK","2-10","NONE",0
"31",6536,2001,6,2,"AAL","AMERICAN AIRLINES","B-737-300","A","148",24,4,10,1,2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,"DAY",NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","2-10",NA,1
"32",28908,2001,5,15,"JBU","JETBLUE AIRWAYS","A-320","A","04A",3,4,23,1,2,"D",1,1,NA,NA,"KJFK","JOHN F KENNEDY INTL","NY","AEA","CLIMB","DAY","NONE",NA,NA,NA,"NE101","HERRING GULL","1","NONE",0
"33",5754,2011,7,5,"SWA","SOUTHWEST AIRLINES","B-737-700","A","148",42,4,10,1,2,"D",1,1,NA,NA,"KBNA","NASHVILLE INTL","TN","ASO","APPROACH","DAY","NONE",200,135,1,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
"34",3706,2010,7,13,"CHQ","CHAUTAUQUA AIRLINES","EMB-145","A","332",14,3,1,10,2,"D",5,5,NA,NA,"KCLE","CLEVELAND-HOPKINS INTL ARPT","OH","AGL","APPROACH","DAY","NONE",50,145,0,"T1002","CHIMNEY SWIFT","2-10","NONE",0
"35",12916,2008,10,12,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KMSY","LOUIE ARMSTRONG NEW ORLEANS INTL ARPT","LA","ASW",NA,NA,NA,NA,NA,0,"N5111","KILLDEER","1",NA,0
"36",6149,2002,12,16,"EGF","AMERICAN EAGLE AIRLINES","EMB-145","A","332",14,3,1,10,2,"D",5,5,NA,NA,"KORD","CHICAGO O'HARE INTL ARPT","IL","AGL","APPROACH","DAY","NONE",NA,NA,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"37",13359,1994,3,12,"1AWE","AMERICA WEST AIRLINES","A-320","A","04A",3,4,23,1,2,"D",1,1,NA,NA,"KORD","CHICAGO O'HARE INTL ARPT","IL","AGL","TAKEOFF RUN","DAY","NONE",0,120,0,"UNKBS","UNKNOWN SMALL BIRD","2-10","NONE",0
"38",16948,2002,6,28,"MIL","MILITARY","C-130E","A","561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KGGG","EAST TEXAS REGIONAL ARPT","TX","ASW","APPROACH","DAY","NONE",200,118,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"39",19174,2014,9,27,"ASQ","EXPRESSJET AIRLINES","EMB-145","A","332",14,3,1,10,2,"D",5,5,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"Y","PERCHING BIRDS","1","NONE",0
"40",29621,2004,9,2,"UAL","UNITED AIRLINES","B-737-500","A","148",33,4,10,1,2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"41",7460,2002,6,3,"PVT","PRIVATELY OWNED","C-172","A","226",7,1,7,19,1,"A",7,NA,NA,NA,"KHWD","HAYWARD EXECUTIVE ARPT","CA","AWP","APPROACH","DAY","NONE",10,45,NA,"ZT1","BLACKBIRD","1","NONE",0
"42",21132,1997,12,8,"AAL","AMERICAN AIRLINES","B-767","A","148",98,4,NA,NA,2,"D",1,1,NA,NA,"KSFO","SAN FRANCISCO INTL ARPT","CA","AWP","LANDING ROLL","DAY","NONE",0,130,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"43",5621,2010,7,23,"TCF","SHUTTLE AMERICA","EMB-170","A","332",NA,4,22,4,2,"D",1,1,NA,NA,"KIAH","GEORGE BUSH INTERCONTINENTAL/ HOUSTON ARPT","TX","ASW","LANDING ROLL","DUSK",NA,0,90,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"44",10015,2009,7,7,"DAL","DELTA AIR LINES","B-757-200","A","148",26,4,34,40,2,"D",1,1,NA,NA,"KATL","HARTSFIELD - JACKSON ATLANTA INTL ARPT","GA","ASO","LANDING ROLL","DAY","NONE",0,NA,0,"YI005","BARN SWALLOW","2-10","NONE",0
"45",26738,2002,8,18,"BUS","BUSINESS","C-560","A","226",45,1,31,1,2,"D",5,5,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"46",910,2002,5,4,"NWA","NORTHWEST AIRLINES","A-319","A","04A",6,4,10,1,2,"D",1,1,NA,NA,"KMSP","MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN ARPT","MN","AGL","APPROACH",NA,NA,500,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"47",21001,2014,4,13,"AAL","AMERICAN AIRLINES","A-319","A","04A",6,4,10,1,2,"D",1,1,NA,NA,"KCLE","CLEVELAND-HOPKINS INTL ARPT","OH","AGL","TAKEOFF RUN","DAY","NONE",0,NA,0,"J2204","CANADA GOOSE","1","NONE",1
"48",22003,2003,11,20,"NWA","NORTHWEST AIRLINES","DC-9","A","583",90,4,34,10,2,"D",5,5,NA,NA,"KGRR","GERALD R. FORD INTL ARPT","MI","AGL","LANDING ROLL","DAY","NONE",0,120,0,"NE1","GULL","1","NONE",0
"49",4651,2009,8,30,"DAL","DELTA AIR LINES","MD-88","A","583",37,4,34,10,2,"D",5,5,NA,NA,"KPNS","PENSACOLA INTL ARPT","FL","ASO","CLIMB","DAY","NONE",100,160,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"50",8535,2011,6,28,"AAY","ALLEGIANT AIR","MD-83","A","583",37,4,34,10,2,"D",5,5,NA,NA,"KMLI","QUAD CITY ARPT","IL","AGL","CLIMB","DAY","NONE",50,120,0,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
"51",17147,1993,10,21,"MIL","MILITARY","KC-10A","A","148",NA,4,22,7,3,"D",NA,NA,NA,NA,"KJAN","JACKSON EVERS INTL","MS","ASO","APPROACH","DAY",NA,800,140,NA,"UNKBM","UNKNOWN MEDIUM BIRD","2-10",NA,0
"52",3399,2012,3,21,"USCG","US COAST GUARD","LOCKHEED C-130","A","561",12,4,NA,NA,4,"C",4,4,4,4,"PADQ","KODIAK AIRPORT","AK","AAL","APPROACH","DAY","NONE",NA,NA,NA,"J2211","EMPEROR GOOSE","1","NONE",0
"53",153,2010,8,5,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KCRP","CORPUS CHRISTI INTL ARPT","TX","ASW",NA,NA,NA,NA,NA,0,"S5213","COMMON NIGHTHAWK","1",NA,0
"54",19106,2011,6,30,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KRNO","RENO TAHOE INTL","NV","AWP",NA,NA,NA,NA,NA,0,"UNKBS","UNKNOWN SMALL BIRD","1",NA,0
"55",23162,2005,11,2,"DAL","DELTA AIR LINES","B-757-200","A","148",26,4,34,40,2,"D",1,1,NA,NA,"KLAX","LOS ANGELES INTL","CA","AWP","APPROACH","NIGHT","NONE",2000,190,NA,"UNKBL","UNKNOWN LARGE BIRD","1","NONE",1
"56",24527,2014,7,20,"DAL","DELTA AIR LINES","A-319","A","04A",6,4,10,1,2,"D",1,1,NA,NA,"KAUS","AUSTIN-BERGSTROM INTL","TX","ASW","APPROACH","DAY","NONE",200,NA,NA,"N5111","KILLDEER","1","NONE",0
"57",27540,2005,7,30,"GWY","USA 3000","A-320","A","04A",3,4,23,1,2,"D",1,1,NA,NA,"KRSW","SOUTHWEST FLORIDA INTL ARPT","FL","ASO","LANDING ROLL","DAY","NONE",0,100,0,"O22","DOVE","1","NONE",0
"58",18371,2005,5,4,"USA","1US AIRWAYS","A-319","A","04A",6,4,10,1,2,"D",1,1,NA,NA,"KCLT","CHARLOTTE/DOUGLAS INTL ARPT","NC","ASO","APPROACH","DAY","NONE",4000,180,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
"59",29227,2010,9,12,"DAL","DELTA AIR LINES","DC-9-50","A","583",23,4,34,10,2,"D",5,5,NA,NA,"KATL","HARTSFIELD - JACKSON ATLANTA INTL ARPT","GA","ASO","TAKEOFF RUN","DAY",NA,0,135,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"60",7908,1998,9,29,"NWA","NORTHWEST AIRLINES","B-757-200","A","148",26,4,34,40,2,"D",1,1,NA,NA,"KDCA","RONALD REAGAN WASHINGTON NATIONAL ARPT","DC","AEA","TAKEOFF RUN","DAY","NONE",0,170,0,"O2111","ROCK PIGEON","2-10","NONE",0
"61",1822,2004,9,20,"WDY","CHICAGO EXPRESS","SAAB-340","A","778",5,3,22,22,2,"C",4,4,NA,NA,"KFWA","FORT WAYNE INTL","IN","AGL","LANDING ROLL","DUSK","NONE",0,90,0,"J2204","CANADA GOOSE","2-10","NONE",1
"62",4658,2015,9,23,"BUS","BUSINESS","C-680","A","226",NA,3,31,14,2,"D",5,5,NA,NA,"KLVM","MISSION FIELD ARPT","MT","ANM","APPROACH","DAY","NONE",600,125,NA,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"63",8283,1995,5,23,"BUS","BUSINESS","HAWKER-SDLY HS125","A","443",30,3,19,1,2,"B",5,5,NA,NA,"KEWR","NEWARK LIBERTY INTL ARPT","NJ","AEA","APPROACH","DAY","NONE",NA,NA,0,"NE1","GULL","1","NONE",0
"64",13325,1994,4,29,"USA","1US AIRWAYS","FOKKER F100","A","372",12,4,37,46,2,"D",5,5,NA,NA,"KPIT","PITTSBURGH INTL ARPT","PA","AEA","DESCENT","NIGHT","NONE",2800,250,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",1
"65",28053,2015,8,9,"CPZ","COMPASS AIRLINES","EMB-170","A","332",NA,4,22,4,2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"ZT002","WESTERN MEADOWLARK","1",NA,0
"66",18533,2012,6,27,"UPS","UPS AIRLINES","B-767-300","A","148",97,4,22,7,2,"D",1,1,NA,NA,"KPDX","PORTLAND INTL (OR)","OR","ANM","APPROACH","NIGHT","NONE",50,144,0,"J2109","MALLARD","1","NONE",0
"67",29244,1999,11,13,"UAL","UNITED AIRLINES","B-777-200","A","148",40,4,34,46,2,"D",1,1,NA,NA,"KSFO","SAN FRANCISCO INTL ARPT","CA","AWP","TAKEOFF RUN","NIGHT","NONE",0,NA,0,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
"68",23128,2002,6,5,"MIL","MILITARY","T-1A","A","748",NA,3,31,1,2,"D",5,5,NA,NA,"KFOE","FORBES FIELD AIRPORT","KS","ACE","TAKEOFF RUN","DAY","NONE",0,110,0,"ZD102","CEDAR WAXWING","1","NONE",0
"69",21494,2011,6,2,"BUS","BUSINESS","SIKORSKY S-76","B","813",14,2,43,1,2,"F",6,NA,NA,NA,"ZZZZ","UNKNOWN",NA,NA,"EN ROUTE","DAY","NONE",2000,140,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
"70",12423,2012,7,17,"MIL","MILITARY","F-16","A","561",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KTUS","TUCSON INTL","AZ","AWP","LANDING",NA,NA,NA,NA,NA,"O2205","MOURNING DOVE",NA,NA,0
"71",12568,2014,5,4,"AAL","AMERICAN AIRLINES","B-737-800","A","148",43,4,10,1,2,"D",1,1,NA,NA,"KDFW","DALLAS/FORT WORTH INTL ARPT","TX","ASW","LANDING ROLL","DAY","NONE",0,135,0,"UNKBS","UNKNOWN SMALL BIRD","2-10","NONE",0
"72",16025,2012,3,30,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KORD","CHICAGO O'HARE INTL ARPT","IL","AGL",NA,NA,NA,NA,NA,0,"YH004","HORNED LARK","1",NA,0
"73",20900,2015,8,24,"UAL","UNITED AIRLINES","B-737-300","A","148",24,4,10,1,2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"NE114","LAUGHING GULL","1",NA,0
"74",2511,1996,5,21,"USA","1US AIRWAYS","MD-80","A","583",37,4,34,10,2,"D",5,5,NA,NA,"KRIC","RICHMOND INTL","VA","AEA",NA,"DAY","NONE",NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
"75",5497,2001,7,29,"USA","1US AIRWAYS","FOKKER F100","A","372",12,4,37,46,2,"D",5,5,NA,NA,"KABE","LEHIGH VALLEY INTL","PA","AEA","TAKEOFF RUN","DAY","NONE",0,100,0,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"76",21693,2015,7,8,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KJFK","JOHN F KENNEDY INTL","NY","AEA",NA,NA,NA,NA,NA,0,"YI005","BARN SWALLOW","1",NA,0
"77",29085,2014,12,31,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KPHX","PHOENIX SKY HARBOR INTL ARPT","AZ","AWP",NA,NA,NA,NA,NA,0,"K5102","PEREGRINE FALCON","2-10",NA,0
"78",3938,2015,8,13,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KDTW","DETROIT METRO WAYNE COUNTY ARPT","MI","AGL",NA,NA,NA,NA,NA,0,"YI005","BARN SWALLOW","1",NA,0
"79",4201,2001,11,16,"BUS","BUSINESS","C-172","A","226",7,1,7,10,1,"A",7,NA,NA,NA,"KWHP","WHITEMAN AIRPORT","CA","AWP","LANDING ROLL","DAY","NONE",0,55,0,"O2111","ROCK PIGEON","2-10","NONE",0
"80",1223,2012,9,27,"DAL","DELTA AIR LINES","A-319","A","04A",6,4,10,1,2,"D",1,1,NA,NA,"KLGA","LA GUARDIA ARPT","NY","AEA","APPROACH","NIGHT","NONE",NA,NA,NA,"Z5301","GRAY CATBIRD","1","NONE",0
"81",4680,2004,11,4,"1AWE","AMERICA WEST AIRLINES","A-320","A","04A",3,4,23,1,2,"D",1,1,NA,NA,"KIAH","GEORGE BUSH INTERCONTINENTAL/ HOUSTON ARPT","TX","ASW","APPROACH","NIGHT",NA,200,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","2-10","NONE",0
"82",27326,1991,9,1,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KISP","LONG ISLAND MAC ARTHUR","NY","AEA",NA,NA,NA,NA,NA,0,"K5114","AMERICAN KESTREL","1",NA,0
"83",27163,1995,4,13,"UAL","UNITED AIRLINES","B-737-200","A","148",13,4,34,10,2,"D",1,1,NA,NA,"KBUF","BUFFALO-NIAGARA INTL","NY","AEA","LANDING ROLL",NA,NA,0,80,0,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"84",14999,1997,6,6,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KPIT","PITTSBURGH INTL ARPT","PA","AEA",NA,NA,NA,NA,NA,0,"UNKBS","UNKNOWN SMALL BIRD","1",NA,0
"85",28468,2004,8,3,"SWA","SOUTHWEST AIRLINES","B-737-700","A","148",42,4,10,1,2,"D",1,1,NA,NA,"KBNA","NASHVILLE INTL","TN","ASO","CLIMB","DUSK","NONE",50,140,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
"86",1824,2013,8,5,"ASH","MESA AIRLINES","CRJ900","A","188",17,4,22,4,2,"D",5,5,NA,NA,"KCLT","CHARLOTTE/DOUGLAS INTL ARPT","NC","ASO","APPROACH","DAY","NONE",1200,145,NA,"UNKBS","UNKNOWN SMALL BIRD","2-10",NA,0
"87",10154,1996,5,1,"UNKC","UNKNOWN COMMERCIAL","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KDFW","DALLAS/FORT WORTH INTL ARPT","TX","ASW",NA,NA,NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","OTHER",0
"88",10230,2000,7,22,"EJA","NETJETS","C-560","A","226",45,1,31,1,2,"D",5,5,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"89",6450,2006,4,13,"UAL","UNITED AIRLINES","B-767-300","A","148",97,4,34,46,2,"D",1,1,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1",NA,0
"90",19898,2015,9,3,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KLEX","BLUE GRASS ARPT","KY","ASO",NA,NA,NA,NA,NA,0,"ZX018","HOUSE FINCH","1",NA,0
"91",17477,2007,7,22,"UNK","UNKNOWN","UNKNOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KTEB","TETERBORO AIRPORT","NJ","AEA",NA,NA,NA,NA,NA,0,"YL001","EUROPEAN STARLING","1",NA,0
"92",961,1996,4,11,"AAL","AMERICAN AIRLINES","DC-9-50","A","583",23,4,34,10,2,"D",5,5,NA,NA,"ZZZZ","UNKNOWN",NA,NA,NA,"DAY","NONE",NA,NA,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",0
"93",3163,2004,10,15,"MIL","MILITARY","C-130H","A","561",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KCHS","CHARLESTON AFB/INTL ARPT","SC","ASO","TAKEOFF RUN","NIGHT",NA,NA,NA,0,"ZS","WOOD WARBLER",NA,"PRECAUTIONARY LANDING",0
"94",26374,2013,10,20,"AAL","AMERICAN AIRLINES","B-737-800","A","148",43,4,10,1,2,"D",1,1,NA,NA,"KMIA","MIAMI INTL","FL","ASO","APPROACH","DAY","NONE",3200,205,8,"UNKBS","UNKNOWN SMALL BIRD","1","NONE",0
"95",21477,2002,10,14,"BUS","BUSINESS","BE-200 KING","A","123",22,2,31,4,2,"C",4,4,NA,NA,"PAEM","EMMONAK ARPT","AK","AAL","APPROACH","DAY","NONE",75,100,NA,"UNKBM","UNKNOWN MEDIUM BIRD","1","NONE",1
