"id","class","height","color","rottingFleshPct","bloodCoverage","aura","hairLength"
29,"Zombie",55.9116052417105,"grey",26,29.522,0.11855128650291,2.76253546283571
30,"Witch",53.9548476465417,"green",13.34,0.208,0.188378273749544,3.30738783309928
31,"Zombie",62.8104579180122,"grey",25.16,21.553,0.0801903853789125,3.1952293464688
32,"Mummy",67.7502281449647,"grey",16.12,6.706,0.107783560287731,3.19053945576413
33,"Zombie",55.6985594645897,"green",37.04,32.648,0.222613800833859,3.32775755734592
34,"Witch",60.1269744968088,"purple",16.56,18.138,0.246543923407528,3.513949438392
35,"Zombie",60.2993890182039,"green",24.08,30.01,0.24840912769784,3.1148955120127
36,"Ghost",54.2777284238888,"white",3.99,6.686,0.22594363291457,3.73289985326265
37,"Vampire",63.5357188854069,"green",6.65,12.89,0.230025374908787,3.10398150918707
38,"Ghost",70.7243650628132,"white",7.31,6.333,0.312213942729063,4.16126073595711
39,"Witch",61.194225891304,"grey",21.64,9.594,0.10094581965189,3.15324865172095
40,"Zombie",65.3590786902296,"green",34.55,37.023,0.242674003845964,3.23630502127108
41,"Zombie",48.5543650824188,"green",30.7,18.918,0.191654024991134,3.13298639459445
42,"Mummy",68.4569364716165,"white",28.73,14.404,0.318050004669445,3.61431540112419
43,"Witch",61.4641260919466,"green",19.95,4.641,0.128173804703191,3.90534583409772
44,"Zombie",71.2525080086309,"green",34.77,21.595,0.118536656243178,3.09072640580048
45,"Mummy",68.5701059730724,"white",29.35,22.479,0.409847939752218,3.23778480284852
46,"Vampire",67.754869928465,"grey",13.09,23.956,0.0860179222096889,4.00154125166298
47,"Vampire",69.0178132381495,"grey",13.99,16.967,0.115982421858552,3.44027218920702
48,"Zombie",61.6626237480163,"grey",32.64,42.429,0.0902274069677628,4.05580653233955
49,"Zombie",53.2811823940711,"green",28.88,33.162,0.250539975526659,3.42927425354935
50,"Witch",65.098516698782,"green",12.21,7.341,0.148515754025615,4.00888588468137
51,"Vampire",70.8672196145514,"grey",12.99,30.079,0.0931902394726492,3.60990618640296
52,"Vampire",68.0379152788692,"grey",8.3,17.208,0.0933423377451235,3.6745281903471
53,"Mummy",65.7279503457986,"grey",9.88,19.305,0.152301427568467,3.05797756843859
54,"Witch",58.1373154349237,"grey",25.43,4.671,0.0916796620457201,3.46675137390209
55,"Vampire",68.9990016996246,"grey",11.67,33.725,0.0914244540386396,4.66999941376736
56,"Mummy",57.5925185519322,"green",34.15,6.413,0.188162051237919,3.13619400332099
57,"Witch",61.5964399958245,"purple",22.93,11.94,0.285512105405279,3.93593386511413
58,"Mummy",65.3527966314417,"purple",32.03,5.547,0.247897910289099,2.88355195167213
59,"Witch",67.2960994278321,"purple",20.4,4.088,0.199665944920409,3.4615862405449
60,"Zombie",67.5972775396165,"green",28.06,41,0.18113296519895,3.80034991775107
61,"Zombie",41.3203953207352,"purple",26.38,40.754,0.200792949071943,2.58265212180709
62,"Witch",53.4605769268644,"purple",25.92,9.785,0.21304448699135,4.08672924024665
63,"Zombie",49.3488766944101,"green",30.01,30.625,0.219376880417918,2.83017423539524
64,"Ghost",53.0625815487302,"white",10.12,0.307,0.302822410755652,2.82278021116467
65,"Vampire",67.2040362271112,"grey",8.65,29.205,0.106981824134298,3.95148722769162
66,"Vampire",70.316623433912,"purple",8.12,18.787,0.147835784703481,3.51305922398481
67,"Witch",60.9964348795424,"purple",20.19,8.248,0.192843080314756,4.37331804563723
68,"Zombie",64.7566861866535,"green",27,28.957,0.18391832156484,3.74756390239314
69,"Ghost",51.7059520610194,"white",3.24,2.541,0.228117109335152,3.89837967702529
70,"Mummy",57.4373549792896,"white",33.07,3.117,0.425605131849928,3.54004036864836
71,"Ghost",58.7883982027137,"white",12.98,7.19,0.25130807008773,3.50229184818152
72,"Witch",63.8170191236465,"purple",14.55,1.511,0.229093799073935,3.84298350102835
73,"Mummy",59.2681435242523,"white",31.27,10.287,0.275066869025275,3.38761451198463
74,"Zombie",59.0269529394338,"grey",24.1,28.053,0.0985118892119418,3.13767364604364
75,"Vampire",66.2836463615146,"white",14.75,33.163,0.245017258622466,3.48615443770926
76,"Mummy",63.1065477445984,"grey",11.73,17.384,0.109414200575806,3.56547504188081
77,"Ghost",62.6830572850597,"white",5.37,4.913,0.185806011235211,3.43799266349606
78,"Mummy",70.939792717194,"white",33.87,15.928,0.328835504016524,3.46482919860084
79,"Zombie",65.9460998185505,"grey",31.38,5.654,0.0954635928508571,3.73380444392194
80,"Zombie",51.3677821664865,"purple",31.37,35.839,0.208476006474247,3.32617014852763
81,"Zombie",66.4982726991454,"white",32.64,29.232,0.25548795775831,3.4390425243323
82,"Zombie",61.3588551441472,"green",25.52,29.731,0.232850677495617,3.36316750523372
83,"Zombie",62.8406271917669,"green",32.42,29.859,0.145677799056242,3.49621288909451
84,"Mummy",64.7539722476694,"grey",8.37,14.849,0.0835521127226908,4.19225089657547
85,"Zombie",68.4645042331479,"green",41.86,33.505,0.1399913498921,3.76844833212622
86,"Mummy",59.9504855601868,"white",12.49,11.27,0.300571907429507,3.81895629830885
87,"Zombie",64.5586703412163,"green",28.95,34.484,0.248223679555732,3.98326831205684
88,"Zombie",59.1681547178016,"green",27.93,41.236,0.0911922546350444,3.73988947218043
89,"Zombie",63.1156783583864,"green",40.23,30.125,0.194559653127815,4.17119308395928
90,"Mummy",60.8524379371246,"grey",13.92,18.061,0.119049758027557,3.42051105134255
91,"Zombie",48.5802596642016,"grey",29.19,29.524,0.111090296278585,3.02670172779995
92,"Ghost",48.977395489577,"white",4.72,0.08,0.279843632798636,3.23281754678224
93,"Zombie",66.0019024554194,"purple",31.86,31.896,0.246926411146802,3.47067468494875
94,"Mummy",68.3877267670865,"white",9.85,24.25,0.300323604869522,3.7264415620379
95,"Mummy",60.7514028000319,"grey",10.71,21.776,0.121561606540662,3.64015743600506
96,"Mummy",62.4009505449855,"grey",12.05,14.077,0.0941197298267609,3.22923475263347
97,"Zombie",71.684537511686,"green",31,25.66,0.239990974880139,3.79861567188798
98,"Zombie",66.9914878784763,"grey",37.44,27.86,0.0788197645169443,3.43642297227209
99,"Zombie",59.0548732573329,"green",31.25,34.047,0.170584990893263,3.14571984782574
100,"Witch",57.5671459691259,"green",18.04,3.15,0.272367109215775,3.48179255351996
101,"Zombie",65.5375539536024,"grey",30.02,34.465,0.0751414200902339,3.98940739152755
102,"Zombie",68.3856922593516,"green",32.36,19.502,0.166645023041707,3.73556341451179
103,"Zombie",65.9562938610539,"green",31.97,34.596,0.218243389634138,3.52201575867752
104,"Zombie",53.328653312456,"green",33.31,31.017,0.230682722266749,3.14899418046312
105,"Witch",62.3694167620895,"purple",12.74,12.622,0.17669592146507,3.22639284609091
106,"Zombie",61.9131380127238,"grey",31.4,33.095,0.074687820268766,3.6500418366571
107,"Witch",58.5368884494411,"grey",17.93,6.686,0.138284052056212,3.27818702692071
108,"Zombie",64.1167833656262,"purple",27.47,39.664,0.185941859240898,4.01927241293069
109,"Vampire",72.5700788100619,"purple",7.03,14.21,0.116621920593478,4.02041782394945
110,"Mummy",61.6909739056005,"white",22.15,14.419,0.435170551623698,3.17442199015651
111,"Zombie",66.2076754465005,"grey",31.63,24.721,0.0996228967065071,2.54178814268566
112,"Mummy",69.9470707520117,"white",18.41,20.881,0.341552150647933,3.65691283570407
113,"Ghost",53.9926245731488,"white",9.36,3.162,0.272471094322405,2.90127240534994
114,"Vampire",69.801151096164,"white",10.75,18.436,0.311726228643671,3.15080002097337
115,"Witch",62.1370954040553,"grey",20.55,2.351,0.120017883078079,3.49688749316003
116,"Zombie",58.066400322668,"purple",29.57,32.355,0.181498191330399,3.04904743541513
117,"Zombie",66.5345159802072,"green",24.66,35.373,0.193909083135255,4.00036909287657
118,"Zombie",64.4995339671007,"grey",38.5,39.003,0.0901466204358772,3.27967306108233
119,"Vampire",70.536669281856,"grey",11.7,33.575,0.0972192405956944,4.37154504334149
120,"Ghost",54.8148461879434,"white",3.74,7.694,0.353891032352081,3.17185791015642
121,"Zombie",61.8665618101778,"grey",36.68,25.924,0.0903638867900466,3.3865414447311
122,"Zombie",57.384376480987,"green",29.42,32.338,0.134544228151348,3.64827412956809
123,"Witch",61.3722604744031,"purple",25.74,18.006,0.221891842193055,3.67586351168416
124,"Zombie",44.7529773730337,"white",30.23,34.583,0.358790373236702,2.88937612516222
125,"Mummy",66.756589308209,"purple",22.47,2.24,0.181918273643044,3.41187859137912
126,"Witch",65.3406525725173,"purple",32.73,18.51,0.20778738125583,3.57283876234217
127,"Witch",61.2121501927151,"green",15,6.882,0.19650842762371,3.33077178470646
128,"Zombie",53.3614583180347,"green",31.74,38.93,0.185835245070686,2.93496891586717
129,"Ghost",58.8416125153882,"white",3.09,1.026,0.3441908842028,3.08485456134917
130,"Zombie",48.8023384483217,"purple",21.97,31.489,0.151305451087742,2.98501243062445
131,"Witch",58.0515301032776,"purple",13.62,10.023,0.238776030107771,3.22641241560505
132,"Witch",62.3489053088167,"green",12.12,8.3,0.131343000087628,3.25543663536151
133,"Zombie",65.6691839710771,"grey",36.46,30.72,0.108655837577479,3.82395072475318
134,"Zombie",71.7450134870001,"green",28.88,37.335,0.212391951441123,3.68119146738408
135,"Zombie",39.5834809195917,"purple",24.43,18.296,0.197625875547416,3.09082887115001
136,"Zombie",65.8273747122613,"green",30.69,22.25,0.250911509274719,3.45045727495716
137,"Zombie",65.6804546391585,"grey",30.05,42.777,0.121275573138994,4.20685650884504
138,"Witch",64.112506806459,"purple",23.19,9.174,0.156189298678028,3.66983180874776
139,"Witch",69.2693520240659,"purple",26.33,11.195,0.121232358792092,3.90136677733935
140,"Zombie",66.5746985697809,"green",26.08,33.777,0.169929245647152,4.15620697486887
141,"Zombie",59.1705160303091,"green",28.07,48.898,0.158131615317108,3.61315182107483
142,"Vampire",74.8564470074869,"grey",9.21,34.765,0.0953703502226691,3.42264096911277
143,"Ghost",49.1783149255824,"white",16.08,3.621,0.395825120471809,3.07080629718908
144,"Zombie",63.8214442756523,"green",35.27,34.538,0.200364941021303,3.29692148355839
145,"Vampire",67.2156628143517,"grey",9.81,18.081,0.114198273050547,3.68837061687957
146,"Zombie",63.7932263080834,"green",20.09,25.523,0.19245423878597,3.78621465337157
147,"Zombie",62.5575736853822,"green",20.96,30.702,0.248613463518492,3.1568864863825
148,"Vampire",68.6615087561459,"white",13.12,34.617,0.318888632400088,4.39495811737729
149,"Vampire",67.0644386461306,"grey",12.13,28.915,0.0744007713652042,4.09283190557086
150,"Witch",68.2759929389422,"grey",21.74,19.19,0.090362349812274,3.56031039175345
151,"Witch",57.4522856530177,"grey",13.83,7.1,0.0821205103391287,3.85521197060755
152,"Witch",57.735213640537,"purple",21.92,19.446,0.213021463385181,2.70995761652738
153,"Ghost",55.2037644111493,"white",4.9,4.19,0.309957876133145,3.90563500287501
154,"Ghost",52.3598210020901,"white",6.49,4.182,0.339690087197861,3.11878998144556
155,"Mummy",70.4143552296535,"white",29.85,17.609,0.268043445743829,3.46819769958222
156,"Witch",65.7141017751923,"green",19.47,5.674,0.165025784197642,3.26750176573732
157,"Ghost",61.0245846225251,"white",7.18,5.867,0.336410377315884,3.58112118436636
158,"Ghost",32.6479872122389,"white",15.03,2.255,0.270605940354451,2.28257257616857
159,"Ghost",49.8985866529478,"grey",7.6,3.256,0.0937391819510946,2.83027435080284
160,"Witch",61.3059367494252,"purple",20.07,5.667,0.217920041179599,3.54352529672753
161,"Vampire",63.4271368271744,"grey",6.41,13.428,0.13836302943324,3.44871460091249
162,"Witch",59.2711352768528,"green",20.79,11.265,0.311104203444209,3.28531601580852
163,"Vampire",63.4248790247592,"grey",13.66,17.548,0.10251091105373,3.55032172855461
164,"Zombie",63.5842427124018,"grey",31.72,34.054,0.0794291690102023,3.26934996420911
165,"Witch",63.2967649957328,"green",17.23,2.738,0.253981340130561,3.19172512528623
166,"Vampire",66.3279107358154,"grey",7.35,29.031,0.124687325868697,3.12206111674358
167,"Ghost",49.6930995597143,"grey",4.9,9.449,0.0896752566916302,3.16178298594538
168,"Witch",68.3825643868949,"white",16.62,9.544,0.366727799275751,3.59462420570175
169,"Zombie",58.4772151021662,"green",29.84,25.082,0.212820562702081,3.82696895113306
170,"Vampire",66.2073182431011,"purple",6.07,21.314,0.290103907221782,3.20797433811127
171,"Witch",63.5792849830917,"grey",19.53,2.138,0.0812927408797183,3.69795041351532
172,"Vampire",68.3263270407269,"grey",14.59,12.219,0.0928221505497606,3.51064303108595
173,"Witch",68.1219140020212,"purple",13.96,0.22,0.193326278962888,3.88698065198629
174,"Zombie",65.5320342177677,"green",36.63,44.42,0.240472823307919,3.46379241822155
175,"Mummy",57.9507424484484,"white",15.58,9.676,0.300912698687166,3.53925421701927
176,"Zombie",45.71375129828,"grey",20.44,36.666,0.153011576166815,3.31240675927638
177,"Zombie",66.7709769734002,"grey",19.96,21.117,0.130814311269647,3.30707887451932
178,"Vampire",70.4872988038419,"white",5.49,10.001,0.386815264229874,3.67218608389293
179,"Zombie",46.3508380891866,"white",31.57,29.178,0.274765744265001,3.16737705969195
180,"Ghost",70.0739847857483,"white",10.4,3.677,0.305156535870231,3.41863738740434
181,"Witch",68.983416603261,"purple",21.97,18.471,0.229828610511314,3.55120838057592
182,"Ghost",56.2251488057483,"grey",6.39,7.687,0.0941309537330504,3.38115100151728
183,"Zombie",63.5650518230668,"white",31.49,21.41,0.421745052734608,3.14457867019225
184,"Ghost",44.8857012116388,"white",8.94,9.609,0.276536771931008,2.92353407082954
185,"Vampire",64.2631258730399,"white",8.82,11.302,0.279783603325633,3.57364830260738
186,"Mummy",64.4011429129081,"white",11.87,11.199,0.34893621304538,3.35637006108414
187,"Zombie",47.9171210850867,"green",29.09,20.91,0.113427850700451,2.9273177026815
188,"Ghost",61.7002633041607,"white",10.12,4.269,0.308827683511264,3.4305511614833
189,"Ghost",55.4734739439316,"white",18.01,8.375,0.244921783333306,3.36861037758103
190,"Vampire",68.3006822411619,"grey",11.16,8.626,0.0885769788884623,3.37112572155976
191,"Ghost",63.6376563098903,"white",8.8,1.467,0.309041176502277,4.17300487203613
192,"Zombie",53.9789211912399,"green",27.32,42.534,0.154405928308154,3.36259937115103
193,"Zombie",65.8679751061269,"green",24.08,24.638,0.199903189005524,3.71101533367634
194,"Zombie",47.1802146612219,"green",30.13,33.258,0.314356530870887,3.16054485142484
195,"Zombie",51.7506036759778,"green",33.07,27.328,0.228831013191786,3.63389370333512
196,"Vampire",74.0263264454429,"white",13.24,13.223,0.241428740625238,3.49774229280786
197,"Vampire",65.9096786491301,"white",12.06,8.015,0.203637839132606,3.30664977686401
198,"Vampire",66.3416458964648,"purple",12.88,26.77,0.191278543014004,3.72902162026865
199,"Zombie",62.7307793676094,"green",35.11,36.538,0.134101766106331,3.90336665186723
200,"Mummy",69.0767777632965,"white",14.7,16.2,0.319831448868181,3.71724086223749
201,"Vampire",68.2554298827869,"grey",12.46,29.07,0.127755561441356,3.31790052312834
202,"Zombie",70.8016018441678,"grey",36.61,34.905,0.115541380068998,3.51792562609715
203,"Witch",66.3262184797416,"green",25.15,17.476,0.24227775910087,3.46986589037693
204,"Ghost",52.8903348308982,"grey",4.51,5.382,0.120915437536742,3.3289001268508
205,"Vampire",63.829630481699,"purple",13.53,13.069,0.225793492283766,3.64652356989597
206,"Ghost",56.6804979777527,"white",4.24,3.608,0.327401633471656,3.53925253064118
207,"Mummy",63.0688546080026,"grey",21.08,4.151,0.114876878172555,3.68009371131087
208,"Witch",63.6983167982932,"grey",21.42,12.341,0.105699166912584,4.1017940275959
209,"Witch",68.1268426739283,"green",14.48,13.072,0.186228090716706,3.75650848465291
210,"Vampire",62.0984025520782,"purple",11.7,11.419,0.172375235736249,2.72473879447553
211,"Zombie",57.9577933165355,"green",34.99,24.931,0.208693715156968,3.28278047431369
212,"Ghost",43.0644453776472,"white",11.9,0.777,0.188319894174653,2.67737417345802
213,"Witch",65.1228896236824,"green",22.94,12.741,0.193883944441101,3.64047874850501
214,"Zombie",42.5171342314961,"green",30.42,26.617,0.250272906013191,2.6317878790953
215,"Mummy",70.2401897931664,"green",39.18,12.828,0.234046971251778,3.57898733337758
216,"Zombie",49.7422567780961,"green",30.62,32.42,0.116281238717713,2.6066021423998
217,"Zombie",60.6180019738083,"purple",35.23,40.78,0.216940845056777,3.5306930002507
218,"Ghost",45.8123179717216,"white",3.67,4.151,0.241654323942487,3.11001795229253
219,"Vampire",66.0876519549212,"grey",7.07,14.966,0.0723085066252204,3.73594930296518
220,"Zombie",44.9768122149957,"green",27.28,41.294,0.214408067099349,2.97136921738585
221,"Witch",64.3034850861044,"green",18.89,1.727,0.186781741893917,3.57863808697156
222,"Mummy",64.0887891250373,"green",14.47,19.203,0.179114325128173,3.4969607661272
223,"Zombie",43.7400084821096,"green",25.8,29.379,0.184658578273482,2.94887196334435
224,"Ghost",67.1444143944009,"white",4.71,6.358,0.310526849039775,3.72069357839596
225,"Ghost",46.6068310584246,"white",13.65,2.226,0.263484568111472,2.83326408953086
226,"Ghost",67.2179280103052,"grey",20.56,5.755,0.0983116431522774,3.92300610284509
227,"Witch",64.5640750454501,"grey",22.22,19.506,0.109443618265484,3.9688458989569
228,"Vampire",70.3103477364713,"white",14.18,8.231,0.361731702523031,3.68017689893612
229,"Ghost",57.0077919844831,"white",4.48,4.654,0.333185936373965,3.78419740761968
230,"Witch",62.6044272320443,"purple",25.33,14.936,0.201246030702911,3.64789512386869
231,"Vampire",63.6884410938714,"grey",5.66,24.725,0.121986447460951,3.02390792045937
232,"Zombie",69.0780829956721,"grey",29.65,24.86,0.125904717079918,3.17861567419027
233,"Zombie",64.9002532862044,"white",24.69,53.387,0.332245814188659,3.73356316810611
234,"Zombie",43.1712289850951,"green",30.5,39.558,0.206174107808176,2.99421806763785
235,"Witch",60.9109977754953,"purple",21.38,13.692,0.229700386940815,4.20906525154563
236,"Vampire",71.730870775464,"grey",10.09,13.258,0.106144968823512,3.9742569536429
237,"Zombie",69.8641717571208,"green",29.35,26.736,0.127117067619831,4.19733991952542
238,"Ghost",63.6662427453331,"grey",3.98,1.678,0.121556576994386,3.58084005041709
239,"Zombie",58.8240403189435,"green",38.73,39.27,0.173526302847627,3.19527682505144
240,"Zombie",64.4182789730898,"green",26.08,26.555,0.181716847245463,2.69580188896994
241,"Zombie",62.7239897119844,"grey",19.08,28.242,0.0856001660239235,3.35130086325122
242,"Ghost",65.4013426765128,"white",17.48,4.598,0.31200710301107,4.03471222179895
243,"Vampire",63.4490211489154,"grey",8.6,31.18,0.0814858919080715,3.64673327541287
244,"Zombie",65.7935035467337,"grey",25.63,27.532,0.133964426320032,3.86929241451742
245,"Vampire",70.4347917440752,"purple",12.65,11.888,0.127483339724163,3.69350115592623
246,"Zombie",66.6348175530259,"green",26.41,49.765,0.193459734653105,3.91484759429645
247,"Ghost",50.116915850437,"grey",10.27,2.766,0.12151776250269,3.17614534047349
248,"Witch",64.6508972031104,"purple",18.19,14.084,0.130106963842673,4.04195071808766
249,"Mummy",64.8953200271338,"grey",27.22,3.698,0.12922835942575,3.70746217536613
250,"Witch",62.5575473842016,"purple",17.07,10.947,0.195377966610951,3.74271284990278
251,"Witch",59.7410012248531,"green",23.28,5.367,0.171695140151063,3.66815820590634
252,"Zombie",50.0487748931669,"green",28.77,25.789,0.176230777831792,3.11757014982355
253,"Zombie",66.1131136603179,"green",20.61,41.789,0.184905352560011,3.87309124044631
254,"Ghost",57.7516036477466,"white",9.97,0.872,0.233761313796306,4.1004578873859
255,"Witch",66.2860141749972,"green",12.85,7.864,0.196371547082914,3.47301302724267
256,"Ghost",53.3582085806797,"purple",7.96,6.681,0.267480309249183,3.04390293950225
257,"Zombie",55.6530317328806,"green",20.8,31.153,0.168362596119168,3.35457216004208
258,"Zombie",50.9313141116697,"green",33.69,35.472,0.176537865201599,3.39716420881276
259,"Ghost",66.930922982845,"white",7.04,5.155,0.318365253755891,3.78987516934945
260,"Mummy",63.0706615744066,"white",28.44,6.383,0.364896066376116,3.82272302811084
261,"Ghost",46.0449939438362,"white",5.56,3.657,0.289580811776242,3.2915587452531
262,"Ghost",43.5989164547952,"grey",19.32,1.657,0.121120314757149,2.56742219210061
263,"Zombie",69.8244019582695,"green",27.95,34.785,0.182142012399804,3.9187808401328
264,"Vampire",68.4356965158814,"white",6.53,24.251,0.213781049330696,4.42805745076432
265,"Witch",61.0933299675705,"green",16.04,19.879,0.237582868244963,3.43355874188718
266,"Ghost",61.1633099640703,"white",3.72,3.059,0.323752948730722,3.7675817405841
267,"Zombie",65.9889418862804,"grey",30.4,34.074,0.0651837133684016,3.26010371668169
268,"Zombie",66.3772850171686,"grey",24.22,26.705,0.116227081837779,3.29718084145845
269,"Ghost",51.051970223098,"white",6.34,4.889,0.253306147488699,3.33562981534293
270,"Witch",59.3133871103461,"green",27.82,2.1,0.195677603129851,3.30581969206015
271,"Witch",57.5302572956271,"green",23.69,14.456,0.203060750844816,2.95265399761539
272,"Ghost",56.4439686295699,"white",5.31,7.17,0.272229867552718,3.41082982344897
273,"Witch",59.6650490704491,"purple",25.7,2.349,0.164882057277893,3.39323612114777
274,"Ghost",51.4087894016015,"green",4.73,3.851,0.249038402032821,2.7163590481338
275,"Mummy",52.2888856662746,"grey",33.74,23.78,0.0855692391280455,2.96547538824765
276,"Zombie",50.7983812250263,"white",31.57,24.768,0.315612671102123,3.12274944225885
277,"Zombie",54.1312303007867,"purple",30.36,25.441,0.235375330885714,3.38488997435831
278,"Vampire",70.0690224214877,"grey",12.04,13.327,0.106092411985389,3.64470729920037
279,"Ghost",57.5380257094544,"green",3.99,3.118,0.162139814251526,3.19700575249208
280,"Witch",53.8019757100943,"white",21.75,5.458,0.23360597725744,3.67723987192275
281,"Ghost",69.8040934633237,"white",10.32,2.648,0.184020593848726,3.58421125737943
282,"Witch",64.9299627149114,"green",23.31,15.297,0.255032227910021,4.31999985379915
283,"Witch",56.5475413069213,"green",17.94,9.762,0.22580781293903,3.51319723056209
284,"Mummy",71.9047914713412,"green",29.21,2.092,0.213779957543911,3.47611731885246
285,"Vampire",66.1808144684977,"grey",10,23.068,0.0837013165106032,4.47983996507414
286,"Ghost",48.9993967723011,"white",9.3,1.138,0.303533799956334,3.52842526542749
287,"Mummy",70.636312074638,"grey",14.32,13.279,0.101864070033755,4.52930059635303
288,"Zombie",47.7485136720253,"green",31.69,21.471,0.224846434184167,3.27990179548587
289,"Zombie",46.0371062882767,"grey",30.44,32.768,0.108236548390872,2.90703244635744
290,"Zombie",63.1452223257041,"white",23.56,29.101,0.270400670728845,3.56292706413526
291,"Witch",54.8632664882323,"green",20.44,2.134,0.222005340405267,3.14262896273347
292,"Witch",62.6283459221024,"green",20.36,15.97,0.205879598184857,3.81799952853112
293,"Ghost",40.7156305574999,"white",8.78,1.529,0.279117369409674,2.84901530868076
294,"Zombie",60.2099968401284,"white",32.06,29.58,0.21970594396932,3.44176443206524
295,"Zombie",58.5862593426123,"white",36.83,34.798,0.339889896685382,3.49813212479458
296,"Ghost",61.8736217434796,"purple",9.94,0.285,0.188818073100117,3.32859134318648
297,"Witch",70.4640558648311,"purple",26.76,16.641,0.237869906566173,4.03164126789621
298,"Zombie",57.8158314033773,"green",28.01,29.844,0.109581923274359,3.55231364862058
299,"Mummy",66.7027050985461,"grey",33.86,23.761,0.100982075443627,3.17502778767183
300,"Vampire",66.5217152836441,"grey",13.34,25.154,0.085502818440609,4.08051861830487
301,"Ghost",61.8940464556466,"white",7.67,7.886,0.27569447274589,2.88908243952564
302,"Zombie",62.0543632634017,"green",35.12,23.841,0.195240462080137,3.58382862047558
303,"Zombie",60.4407415195562,"green",20.43,30.728,0.232355132309637,3.18116136244217
304,"Mummy",68.4179329899655,"white",32.21,12.918,0.355003258707765,2.92465988040032
305,"Mummy",66.7073586605482,"grey",34.59,10.31,0.104281932212091,3.63458829527504
306,"Zombie",66.6049367787903,"grey",32.68,39.015,0.11364251735544,3.71959829891413
307,"Zombie",46.1995844021733,"grey",21.22,38.247,0.104482571478129,3.16521542618317
308,"Vampire",63.800507128554,"grey",9.87,19.968,0.137314919901208,4.19118698245827
309,"Vampire",67.6943137876927,"purple",7,10.048,0.261623253541195,4.03189564727637
310,"Ghost",57.8197339114212,"green",5.06,6.792,0.222698861100189,3.00124259769673
311,"Ghost",47.8057707678203,"white",5.16,7.627,0.355291480877278,3.00306122685022
312,"Witch",63.6930327285921,"purple",22.88,8.489,0.22185413267408,3.414103942445
313,"Witch",63.695291918042,"grey",15.68,6.377,0.114375252455908,3.81621019274926
314,"Vampire",70.1361097185544,"grey",7.57,9.894,0.131869275051954,4.18803326900614
315,"Zombie",65.9147500647576,"green",18.06,42.886,0.265748369135416,3.52734399357894
316,"Witch",65.9324030895761,"purple",24.5,8.557,0.227744641166783,3.3126131705944
317,"Zombie",68.1970248557687,"green",29.02,21.414,0.193566623908517,3.69133063530597
318,"Zombie",58.5897847173694,"purple",28.45,28.908,0.164417547378851,3.11731323523209
319,"Witch",61.8441828592319,"purple",25.21,14.675,0.166719146515663,2.80248005822958
320,"Witch",67.0153626253268,"purple",12.52,14.103,0.229307069592138,4.12578582045555
321,"Witch",63.1609792747597,"purple",30.93,0.4,0.204132929815856,3.50526940492432
322,"Ghost",58.6801488839011,"white",9.99,0.706,0.290955937430063,3.41435477640294
