"ID","primary_color","secondary_color","height","wingspan","weight","hobby","dsb"
116,"black","blue",26.321870503888,34.3916686716175,16.9312642819472,"karaoke",3
117,"black","blue",24.4855821164348,27.7812924912152,9.88786471776343,"karaoke",0
118,"grey","blue",25.325686064801,39.36010631205,9.25418361817369,"trivia",0
119,"black","blue",31.9930404153177,26.2121996763953,14.3035561011793,"art",2
120,"black","blue",30.0315889383843,36.5891687344449,14.5997644461199,"cooking",2
121,"grey","blue",25.0663937958355,56.4006343394839,19.1009476085389,"comedy",1
122,"black","blue",27.19795773933,30.972467058004,18.6964362568847,"yoga",2
123,"black","blue",28.2004880577634,36.2264939104789,9.96364477445805,"art",4
124,"black","grey",30.5096100871789,29.4069637857077,12.5643713154218,"karaoke",1
125,"black","grey",19.8284806379165,33.3500091942716,16.0955400214449,"trivia",2
126,"grey","blue",23.8708514671208,44.1371334017056,17.5485484343886,"karaoke",1
127,"grey","blue",32.1417685296239,21.625552399751,12.3417967791203,"trivia",0
128,"grey","blue",26.9911346928862,28.0133553070699,16.2020755836603,"karaoke",1
129,"grey","blue",30.5621989245852,43.8962646462763,14.0565838349448,"trivia",1
130,"grey","blue",28.6796933092624,55.2649512453047,19.0070497122817,"comedy",2
131,"brown","grey",28.5732985151668,49.747496570705,10.428022021843,"cooking",1
132,"black","blue",28.5490174781304,22.321349454256,12.16959504757,"yoga",4
133,"grey","blue",25.206991846792,22.1675914726685,16.4976523921432,"art",1
134,"grey","blue",30.4262308861479,40.040998995245,23.0796119574285,"cooking",3
135,"brown","blue",28.5379151560074,32.9509193945137,15.9641779959984,"comedy",4
136,"black","blue",29.256218758761,29.0805822749085,14.1161238584986,"debate",1
137,"brown","blue",26.6757504728664,34.7153007916511,16.7625336169153,"cooking",2
138,"black","blue",30.0177463985988,38.5049107778134,19.298514404365,"karaoke",1
139,"black","blue",28.6370265491426,38.4159787251692,18.6810979374406,"trivia",9
140,"grey","blue",26.2184553559357,26.8149033979549,10.5447568455942,"cooking",1
141,"black","blue",30.4041382518464,34.9328001199741,21.8204678819737,"cooking",1
142,"black","blue",25.3110816569411,22.4701146645071,7.02270139730789,"karaoke",5
143,"black","grey",29.0253544959906,35.1713449896926,14.6203200666097,"cooking",5
144,"grey","blue",31.8124868370509,38.9655735497026,17.5086213796749,"karaoke",2
145,"grey","blue",25.5997256179849,36.8332222433936,14.9794884135678,"cooking",2
146,"black","blue",25.3148718831597,17.8919779241733,8.77500231954501,"art",0
147,"black","blue",23.4921429572916,25.0645433555516,8.40530775771976,"cooking",2
148,"black","blue",26.1833528591083,28.9553949203466,11.1355131514691,"karaoke",4
149,"black","grey",31.4241214764171,29.2270872796919,20.7158169387743,"art",2
150,"black","blue",30.2248398796087,41.1656031383259,13.6732381824805,"cooking",10
151,"grey","blue",24.5235596316964,25.1457635828481,14.4841794340285,"yoga",3
152,"grey","grey",24.9152882548166,47.7869769489471,15.2739981032132,"cooking",1
153,"grey","blue",29.1808851961275,34.7902407810093,14.0001597670671,"art",0
154,"grey","grey",23.8444130305961,45.2738605261887,19.5348866396144,"art",2
155,"black","blue",31.0626863216339,27.8639061281472,19.9630922151585,"trivia",3
156,"grey","blue",27.2859887743876,44.1193375664211,18.6491999467134,"cooking",3
157,"black","blue",24.4986706915796,23.4607358267238,10.8729986943909,"cooking",0
158,"black","blue",29.8106664523499,47.8921941644884,18.6856968567388,"karaoke",3
159,"black","blue",26.4500378502458,41.6451889156142,13.0916767262914,"cooking",1
160,"black","grey",27.8221546570938,33.0647439121663,17.4645921234822,"yoga",6
161,"grey","grey",27.997025054068,29.3540653092584,4.22247994204569,"karaoke",2
162,"black","blue",23.1558262421648,23.9160579781503,12.6915749556708,"comedy",2
163,"black","grey",28.7178715704251,21.907841033331,15.2452317367026,"comedy",0
164,"black","grey",33.0545711158455,19.6842763339522,11.231356940567,"art",4
165,"black","grey",28.2414943870043,34.5711803714715,16.3227052218745,"cooking",2
166,"black","blue",24.4783445177682,24.4807397179947,17.7520840002883,"comedy",2
167,"black","blue",27.6149683504109,31.7725066857204,19.8529492828105,"cooking",3
168,"grey","blue",23.1421550675251,31.3375891620279,9.54969339893872,"comedy",2
169,"grey","blue",22.5040467999142,32.5514098472064,14.7522042694991,"karaoke",2
170,"grey","blue",23.2737458184121,26.3063512047604,14.8570827993301,"comedy",1
171,"grey","blue",35.0807872287529,28.4962321253958,12.1767219958815,"cooking",1
172,"grey","blue",27.4084129237183,29.8710376546142,19.4128368385758,"art",2
173,"grey","blue",27.6857342259211,33.9104568698983,15.8666421018185,"cooking",1
174,"black","blue",28.7359042931678,25.8533641952987,11.2919154272154,"cooking",1
175,"black","blue",28.6941657843062,29.2000176824918,17.8866520591391,"cooking",2
176,"grey","blue",29.7343277482047,35.9865907003717,15.4104558936001,"cooking",1
177,"black","blue",29.4380330330494,34.8370751600796,21.7198563162095,"comedy",2
178,"grey","blue",24.6905778306354,32.1142704610547,12.963382667524,"trivia",2
179,"black","grey",24.2461738410069,27.0629513050911,13.3072568885498,"cooking",1
180,"black","blue",31.3739787747066,39.0815917364116,11.8050389309987,"debate",4
181,"grey","blue",30.2576311332283,42.3780786042135,19.4075473711183,"cooking",1
182,"black","blue",28.7984076957681,28.4177613894874,18.3193421585866,"cooking",2
183,"black","blue",23.7195556091873,29.7487854440218,17.1653316107894,"cooking",2
184,"black","blue",31.940517129136,25.1306795950942,16.735519566086,"art",4
185,"black","blue",26.6026156622098,44.3026554122523,9.71672496023805,"comedy",11
186,"black","grey",25.8877208771633,41.6933648010722,19.3705587038673,"comedy",4
187,"grey","blue",20.3219471707318,36.9838883012636,13.4917374967035,"karaoke",1
188,"grey","blue",26.8112478412317,28.9245669858608,12.9720726710854,"cooking",1
189,"black","blue",23.8625274661284,44.462332001383,15.9430294976587,"debate",1
190,"black","blue",28.5227388655757,29.9555208779645,18.0757407838,"comedy",4
191,"grey","blue",24.4804557339085,36.4338965342234,12.7936705687808,"cooking",5
192,"grey","grey",25.6980291240744,36.2499796620674,15.6874906990901,"cooking",2
193,"grey","blue",28.8620086480866,24.4825825456285,19.6443730246647,"cooking",3
194,"grey","blue",29.3020727109276,41.4505040220401,14.3299770293644,"cooking",2
195,"black","blue",25.2266601277494,41.3392017178756,18.5225950989883,"art",3
196,"grey","grey",28.7065041000585,39.0290305168243,11.6723493574702,"debate",0
197,"grey","grey",33.3518289280717,35.3910888344119,17.8058376948236,"yoga",1
198,"black","blue",23.8339851267711,33.8698440721643,16.0944400639244,"karaoke",1
199,"brown","blue",31.5376440048415,28.8524383201427,15.5825717459126,"cooking",5
200,"black","grey",29.575830707389,35.9382669962663,16.7478909499206,"karaoke",1
201,"brown","blue",25.5444705255259,40.4613469597288,16.7057295968802,"trivia",2
202,"grey","grey",25.1071449197879,44.8899541752812,25.3640810772866,"cooking",0
203,"grey","blue",27.8930551853535,37.6042955874001,13.1487716257213,"karaoke",0
204,"grey","grey",19.2646320371776,26.4126468071713,11.4416687175745,"karaoke",4
205,"black","grey",31.6544021657391,25.7456960302867,17.1277662514657,"debate",1
206,"black","blue",31.6227570908093,32.0660097047917,17.4586944969292,"karaoke",3
207,"grey","blue",29.3474860178641,32.9050659732373,12.8810242203909,"cooking",1
208,"black","blue",29.5736260136943,29.7733184356905,9.84210051758971,"yoga",1
209,"black","blue",31.1972572382102,32.5308538452361,16.5880383246083,"trivia",3
210,"brown","grey",30.3499223728062,18.8622992625118,14.9749216539142,"karaoke",3
211,"grey","blue",27.748616339812,27.6563348414738,17.2907911332924,"art",2
212,"black","blue",20.027722206788,26.308263360909,14.1126394615701,"trivia",2
213,"grey","blue",29.8141758444055,38.8576628924333,16.0851699647214,"karaoke",1
214,"black","grey",29.70550494573,41.5685976086419,16.3644193251279,"art",2
215,"grey","blue",28.520641603771,45.3617291313343,19.2771456737404,"art",1
216,"grey","blue",28.4929711028184,36.2076140745073,14.8374896622037,"yoga",2
217,"grey","grey",32.0306401050341,40.332471661196,18.4416718817544,"cooking",1
218,"black","grey",28.7188956362391,46.7067051473921,13.6341361081936,"cooking",2
219,"black","blue",31.9223548929367,41.8424291891712,20.0354955201189,"yoga",1
220,"brown","blue",28.0710435244255,28.0451893555077,10.9552884713629,"yoga",2
221,"black","blue",25.4242722799376,36.2820093237383,15.3494139551433,"karaoke",10
222,"brown","blue",27.558133796539,29.4811398018173,12.0238741497758,"yoga",1
223,"black","blue",24.4809400944122,38.4604545539334,17.5931703925231,"comedy",2
224,"grey","blue",24.2453316697237,33.9257809867116,10.9688804309874,"cooking",2
225,"black","blue",20.7955786283855,30.785822438194,10.2576596802325,"trivia",2
226,"black","grey",28.1767284579965,32.4988158618872,18.379698892957,"trivia",2
227,"black","blue",30.6052912720606,23.3142418782172,6.26845452762263,"yoga",7
228,"grey","blue",28.6154432563103,39.8602228331526,12.0239684475648,"karaoke",3
229,"black","blue",26.6490761616158,34.3342431499395,17.1640827202409,"karaoke",3
230,"grey","grey",31.2739011624892,35.0020903796762,19.7756420080529,"cooking",1
231,"black","blue",27.0995752966545,24.8817631231068,11.8270461239339,"art",4
232,"grey","blue",30.3662858439092,23.2938234643834,10.393397956427,"art",0
233,"black","blue",30.1306421038117,30.9036516835791,17.4014015193183,"cooking",2
234,"black","grey",31.3673150883428,24.6449397230241,16.652296710011,"cooking",2
235,"black","blue",21.8289756350136,29.6549819255359,9.39416286584204,"cooking",2
236,"black","blue",28.3148924451336,17.1898774522184,1.64461725658794,"yoga",4
237,"black","grey",30.6779304629163,29.4437513446875,13.8023732670698,"comedy",0
238,"black","blue",27.1972553159346,19.1826855630767,14.1259022544642,"debate",1
239,"black","grey",32.6497271908476,25.1518259703096,21.8791861592358,"trivia",1
240,"black","blue",28.638957048213,41.4231511666555,16.7816783936669,"yoga",4
241,"grey","grey",30.6008444864736,37.2590162147365,19.0608624013489,"cooking",2
242,"grey","grey",29.0269217743007,28.1138654387341,12.0345322997049,"art",4
243,"grey","blue",28.267558939742,36.7857569236374,15.0253943130108,"cooking",1
244,"black","blue",30.994920176711,24.3051280708312,14.9915833408392,"art",3
245,"brown","blue",24.8564049761964,43.2849624561386,20.4949043853774,"cooking",2
246,"black","blue",28.2355541571478,20.0299663296129,12.820915191237,"comedy",3
247,"black","blue",22.2557840071003,38.6477366833942,16.3976810425864,"cooking",7
248,"grey","blue",29.6776396015288,37.335665334084,21.4616781800028,"cooking",0
249,"black","blue",31.4754882332831,29.9655415228616,16.0908144307306,"karaoke",2
250,"black","blue",30.0511534861276,26.3935799103483,16.0288934905234,"art",2
251,"grey","blue",32.5491764794047,40.1578470594224,17.4364174763857,"comedy",0
252,"brown","blue",32.2510523669323,39.0660102152519,13.0809820531191,"art",2
253,"brown","blue",24.0853233795943,37.0206445298825,11.2499491481084,"yoga",4
254,"grey","blue",27.6259409677886,26.3780178975865,9.31800754656688,"yoga",3
255,"grey","blue",24.5904120397238,47.3195338616682,18.2538363602031,"cooking",3
256,"black","grey",25.0023070485861,35.9305414521656,10.7236303892146,"yoga",1
257,"black","blue",27.7493078794438,42.1354966816618,14.076694312571,"debate",7
258,"black","blue",26.8905576953023,29.5263417262756,12.6708430514234,"debate",2
259,"grey","grey",29.7046722541168,36.8964124422601,19.2887479142956,"cooking",3
260,"black","blue",28.1715976793414,36.6682240368735,15.8032996030647,"trivia",13
261,"black","grey",33.8235323166129,31.6468297520935,18.5042492364766,"cooking",3
262,"black","blue",33.1846620711633,35.0325810911528,13.562196155463,"cooking",1
263,"grey","blue",30.7990805176375,25.6777880803493,18.4131101272097,"cooking",0
264,"grey","blue",26.7198284013123,41.0879151450021,15.0625719601843,"yoga",10
265,"black","blue",31.0059646848579,25.9506124001717,13.4409987203422,"cooking",1
266,"brown","grey",25.9980346482678,38.8866247038506,16.8905277946758,"yoga",7
267,"black","blue",29.6788487350567,33.4061891941497,18.7933219376088,"cooking",1
268,"brown","grey",29.4266752501216,25.5098381175648,14.0603605581707,"art",0
269,"black","grey",30.2669024486827,32.2643157239798,14.0133510566271,"art",3
270,"black","blue",24.9983555508421,20.4247971420266,14.7722310385089,"trivia",2
271,"grey","blue",29.1626509559986,38.3324323814751,9.7973924954621,"trivia",4
272,"grey","blue",30.3348625479772,36.8694352375459,18.3599562644268,"comedy",2
273,"black","blue",27.0365628870893,47.4410726342825,19.8679041130202,"cooking",1
274,"grey","blue",29.1731401915287,45.4735429829705,21.1249584626294,"yoga",7
275,"black","blue",23.7472096855269,29.0866559652816,18.2879412254162,"yoga",3
276,"black","blue",29.0437910349766,43.7247039078421,13.512590431852,"karaoke",4
277,"black","grey",25.5983415675785,44.5587260638969,18.2040760529313,"debate",9
278,"black","blue",28.4169530023189,26.2658626862195,11.7455484041002,"karaoke",4
279,"brown","blue",31.9040796857312,40.1300722684737,14.279312948154,"cooking",1
280,"black","blue",34.4513453533847,22.4499065848513,9.12366832979734,"yoga",3
281,"black","grey",29.565562750694,28.6063131186337,12.1736956565623,"comedy",4
282,"grey","blue",28.2624548542097,49.3095167653339,20.4749443256816,"comedy",1
283,"black","grey",24.0889487416143,24.7529620700249,14.1851540707478,"comedy",0
284,"black","grey",24.9118409715864,43.5376315088495,18.984018609794,"debate",2
285,"black","grey",35.0370873510499,40.7749823373541,20.3008592401701,"cooking",1
286,"grey","grey",25.3165038525014,26.1825745772873,10.6528566111885,"art",0
287,"grey","blue",24.9994552716802,36.9610759827585,14.7218811704627,"art",2
288,"black","grey",29.5883097166942,31.811002220178,14.1672337302472,"art",2
289,"grey","blue",30.6429340605975,46.2940353624677,14.1390388213745,"cooking",2
290,"grey","blue",25.6099803458652,33.8553446094679,17.6440492435714,"trivia",1
291,"black","blue",32.1807195541683,42.7466383238911,20.234528298268,"cooking",7
292,"black","blue",33.5966060186462,36.2935564833357,20.7882577572971,"debate",0
293,"black","blue",36.1248927261537,35.5216606540282,15.2248703247996,"trivia",5
294,"black","blue",24.9673869019661,39.9391961650082,18.1031445203939,"art",5
295,"black","blue",27.7647560397052,35.6070725587946,16.171134526265,"art",3
296,"black","blue",32.2891594429146,39.9233560483798,20.6820719863138,"yoga",2
297,"black","blue",30.3285828113792,44.7930835138479,15.0059247971053,"trivia",9
298,"grey","blue",24.9968696226095,36.1017972253317,15.932593742356,"comedy",1
299,"brown","blue",26.6236111699306,25.5633348652471,15.830207368555,"cooking",3
300,"grey","blue",26.8785263264412,40.1079021120839,20.0273014597695,"art",2
301,"grey","blue",25.3033351923839,25.3515105373068,14.4798336468806,"karaoke",1
302,"black","blue",25.3205018384798,53.3631882363668,12.2511790461996,"yoga",1
303,"black","blue",30.8271255366627,35.3322593289891,16.969660581953,"yoga",3
304,"grey","blue",34.9797932738648,36.1163594084282,18.9957440887077,"trivia",7
305,"black","blue",28.841001055572,41.218423231727,18.8324040177054,"yoga",9
306,"brown","blue",27.8991444342573,39.0755747214766,6.13879295835376,"comedy",0
307,"black","grey",25.667787170734,30.4228638571908,16.6516055368059,"trivia",3
308,"grey","blue",30.5415877582164,39.4564872470021,14.5069444428798,"yoga",2
309,"black","blue",31.1761216394477,47.4623497448535,19.7837817160834,"art",3
310,"black","blue",24.6376745604356,32.697585137946,7.27238503883625,"art",0
311,"grey","blue",25.0127539456036,17.1015818431785,14.8849960504499,"cooking",1
312,"black","blue",29.5225914015695,32.2202516189361,12.3265286787712,"cooking",3
313,"grey","grey",28.8879124098316,34.5344280709393,14.9676911712361,"yoga",1
314,"grey","blue",31.0948006744927,26.8283998157905,14.6990349981617,"yoga",0
315,"grey","blue",31.0292903500885,23.7143429680454,18.1106587439611,"cooking",0
316,"black","blue",26.3718078092305,35.0094807708028,10.8167363441069,"cooking",1
317,"black","blue",22.1414229215315,33.6623120382794,19.1734895694839,"debate",1
318,"grey","blue",30.7680688262487,36.1138546711545,17.3287760925872,"art",3
319,"black","blue",27.4495546885623,35.2482945607593,14.2386824303019,"cooking",4
320,"black","blue",25.1937396680016,30.2484594909115,13.6777097851976,"art",2
321,"black","blue",31.7349436120707,33.7343281057483,18.9366158047792,"karaoke",5
322,"black","grey",30.0867938675808,40.1129493531914,12.5705669448009,"cooking",3
323,"black","grey",32.3057163826732,31.4069329546523,15.9426464972174,"karaoke",2
324,"grey","blue",28.3887290839209,31.5834801517833,15.0695369984225,"karaoke",2
325,"grey","blue",27.6348909752732,43.4495383413204,12.3398191724372,"yoga",2
326,"black","blue",26.025492271994,38.7361599132481,21.6016004941231,"art",1
327,"black","blue",26.4623994218194,28.2621589885546,15.47317397626,"comedy",0
328,"grey","blue",29.9923269823003,26.9143642417259,13.002321535935,"cooking",2
329,"black","blue",27.3722337877902,31.9960418143423,15.115573024921,"cooking",4
330,"black","blue",23.2068588962667,40.7309100004772,13.4708969761662,"art",3
331,"black","blue",32.225286107498,42.4379192378938,23.0359016032474,"comedy",6
332,"grey","grey",31.1426080217115,27.9131664367024,15.7759330465795,"karaoke",3
333,"black","blue",30.1202836659732,31.7541026535512,18.8958697381908,"cooking",2
334,"black","blue",26.3756635072017,46.1074331197467,16.7334866867984,"cooking",1
335,"brown","blue",31.8154902756378,26.498519620699,13.2842276325973,"art",4
336,"brown","blue",34.4301246259398,49.5445322799418,19.5788679373404,"cooking",4
337,"grey","blue",29.4140798971384,32.6281002190384,12.4295502561908,"art",3
338,"grey","blue",26.9928492535826,26.4773792198758,11.6823964640257,"art",2
339,"grey","blue",21.7171862838246,33.0790110908995,12.6906089713245,"art",1
340,"brown","blue",29.5668002394983,31.0242619530574,13.4105207202288,"comedy",0
341,"black","blue",27.481411895003,38.8585361383858,13.1634229972253,"comedy",5
342,"grey","blue",28.1028471526165,28.1625245816635,10.7240686440882,"comedy",3
343,"black","blue",31.5736364564653,30.9175642506111,14.1670181794739,"karaoke",4
344,"grey","blue",28.9773493020735,33.3741569603446,18.5657651087883,"trivia",3
345,"black","blue",30.8331811347302,27.4794557175415,9.24189581841203,"art",0
346,"black","grey",25.4457646534521,45.9594297867181,14.7996169569778,"comedy",1
347,"black","grey",27.1569205971194,24.8373933717,14.9502157879977,"karaoke",1
348,"grey","blue",23.255247828417,40.0362315384601,17.9260351116536,"yoga",1
349,"brown","blue",25.3519856880355,24.7627393559078,20.116447669854,"art",3
350,"grey","blue",25.1736732832464,37.6500131953838,14.0675717120654,"cooking",4
351,"grey","blue",24.9896891799762,42.346935267673,14.9907616021805,"art",0
352,"grey","grey",27.0350006661472,46.5738090003877,13.2615143358003,"karaoke",1
353,"grey","blue",21.7119685232209,39.2571307213908,16.6146322524388,"yoga",3
354,"black","grey",31.8184732897987,22.6309170688298,9.7479903277689,"art",3
355,"black","blue",31.5488907212822,31.7090759730639,11.9298197233011,"cooking",2
356,"grey","blue",28.863641390452,29.3446656460029,6.04622887647345,"karaoke",0
357,"black","blue",24.8697899286334,44.6596030666972,10.9145257849025,"karaoke",4
358,"black","blue",25.4104465443984,40.7580113309864,15.4975593865319,"karaoke",2
