response_datetime,problem,is_911_call,primary_offense,subject_injury,force_type,force_type_action,race,sex,age,type_resistance,precinct,neighborhood
2016/01/12 03:50:29,Fight ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,31,Commission of Crime,1,Downtown West
2016/01/12 09:55:26,Unwanted Person ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,56,Tensed,1,Downtown West
2016/01/12 09:55:26,Unwanted Person ,Yes,OBSTRU,No,Bodily Force,Knees,Black,Male,56,Tensed,1,Downtown West
2016/01/12 21:39:43,Overdose-Accidental ,No,OD,,Bodily Force,Body Weight to Pin,Black,Male,37,Tensed,4,Hawthorne
2016/01/12 21:39:43,Overdose-Accidental ,No,OD,,Bodily Force,Body Weight to Pin,Black,Male,37,Tensed,4,Hawthorne
2016/01/12 21:39:43,Overdose-Accidental ,No,OD,,Bodily Force,Joint Lock,Black,Male,37,Tensed,4,Hawthorne
2016/01/12 21:39:43,Overdose-Accidental ,No,OD,,Bodily Force,Joint Lock,Black,Male,37,Tensed,4,Hawthorne
2016/01/14 01:59:36,Unwanted Person ,Yes,DAMPRP,No,Improvised Weapon,Other (specify),Black,Male,33,Tensed,5,Whittier
2016/01/14 01:59:36,Unwanted Person ,Yes,DAMPRP,No,Improvised Weapon,Other (specify),Black,Male,33,Tensed,5,Whittier
2016/01/14 02:07:05,Disturbance ,No,DISCON,,Chemical Irritant,Crowd Control Mace,White,Male,18,Commission of Crime,1,Downtown West
2016/01/14 15:38:24,Suspicious Person ,No,"NARC",No,Bodily Force,Body Weight to Pin,Black,Male,15,Tensed,4,Jordan
2016/01/14 20:29:23,Suspicious Person ,No,"NARC",No,Bodily Force,Body Weight to Pin,Native American,Male,25,Tensed,3,East Phillips
2016/01/14 20:29:23,Suspicious Person ,No,"NARC",No,Gun Point Display,Compliance,Native American,Male,25,Tensed,3,East Phillips
2016/01/15 00:53:51,Domestic ,Yes,DASLT5,Yes,Bodily Force,Punches,Black,Male,24,Commission of Crime,5,Whittier
2016/01/15 00:53:51,Domestic ,Yes,DASLT5,Yes,Bodily Force,Push Away,Black,Female,21,Tensed,5,Whittier
2016/01/15 00:53:51,Domestic ,Yes,DASLT5,Yes,Bodily Force,Body Weight to Pin,Black,Male,24,Commission of Crime,5,Whittier
2016/01/15 00:53:51,Domestic ,Yes,DASLT5,Yes,Bodily Force,Body Weight to Pin,Black,Female,21,Tensed,5,Whittier
2016/01/15 20:29:19,Suspicious Person ,No,"NARC",,Bodily Force,Body Weight to Pin,NA,Male,26,Commission of Crime,2,St. Anthony East
2016/01/15 20:33:46,Suspicious Person ,No,FLEEFT,No,Taser,Firing Darts,Black,Female,36,Fled on Foot,1,Downtown West
2016/01/15 21:03:13,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Knees,Black,Male,52,Assaulted Officer,3,Wenonah
2016/01/15 21:03:13,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,52,Assaulted Officer,3,Wenonah
2016/01/15 21:03:13,Domestic Abuse-In Progress ,Yes,OBSTRU,No,Bodily Force,Conscious Neck Restraint,Black,Male,52,Assaulted Officer,3,Wenonah
2016/01/17 01:09:25,Assault in Progress ,Yes,OBSTRU,No,Bodily Force,Body Weight to Pin,Black,Male,43,Tensed,2,Nicollet Island - East Bank
2016/01/17 01:09:25,Assault in Progress ,Yes,OBSTRU,No,Chemical Irritant,Personal Mace,Black,Female,21,Tensed,2,Nicollet Island - East Bank
2016/01/17 01:09:25,Assault in Progress ,Yes,OBSTRU,No,Chemical Irritant,Personal Mace,White,Female,46,Verbal Non-Compliance,2,Nicollet Island - East Bank
2016/01/17 01:09:25,Assault in Progress ,Yes,OBSTRU,No,Bodily Force,Push Away,Black,Male,43,Tensed,2,Nicollet Island - East Bank
2016/01/17 02:19:30,Disturbance ,No,DISCON,,Chemical Irritant,Personal Mace,White,Male,23,Commission of Crime,5,Lowry Hill East
2016/01/17 02:19:30,Disturbance ,No,DISCON,,Chemical Irritant,Personal Mace,White,Male,22,Commission of Crime,5,Lowry Hill East
2016/01/17 19:50:54,Domestic Abuse-In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Male,14,Verbal Non-Compliance,4,Willard - Hay
2016/01/17 19:50:54,Domestic Abuse-In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Male,14,Verbal Non-Compliance,4,Willard - Hay
2016/01/17 19:50:54,Domestic Abuse-In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Male,14,Verbal Non-Compliance,4,Willard - Hay
2016/01/17 19:50:54,Domestic Abuse-In Progress ,Yes,OBSTRU,,Bodily Force,Body Weight to Pin,Black,Male,14,Verbal Non-Compliance,4,Willard - Hay
2016/01/17 23:41:39,Fight ,No,"NARC",No,Bodily Force,Body Weight to Pin,Black,Male,32,Fled on Foot,4,Lind - Bohanon
2016/01/17 23:41:39,Fight ,No,"NARC",No,Chemical Irritant,Personal Mace,Black,Male,21,Tensed,4,Lind - Bohanon
2016/01/17 23:41:39,Fight ,No,"NARC",No,Bodily Force,Body Weight to Pin,Black,Male,32,Fled on Foot,4,Lind - Bohanon
2016/01/17 23:41:39,Fight ,No,"NARC",No,Bodily Force,Kicks,Black,Male,32,Fled on Foot,4,Lind - Bohanon
2016/01/19 20:39:28,Animal Bite ,No,BURGB,Yes,Bodily Force,Knees,NA,Male,19,Assaulting Police K9,3,Hiawatha
2016/01/19 20:39:28,Animal Bite ,No,BURGB,Yes,Police K9 Bite,On Lead,Native American,Male,18,Commission of Crime,3,Hiawatha
2016/01/19 20:39:28,Animal Bite ,No,BURGB,Yes,Bodily Force,Kicks,NA,Male,19,Assaulting Police K9,3,Hiawatha
2016/01/20 02:03:16,Suspicious Vehicle ,No,FLEE,Yes,Bodily Force,Body Weight to Pin,White,Male,28,Fled in Vehicle,5,East Isles
2016/01/20 02:03:16,Suspicious Vehicle ,No,FLEE,Yes,Bodily Force,Body Weight to Pin,White,Male,28,Fled in Vehicle,5,East Isles
2016/01/21 15:25:16,Unwanted Person ,Yes,DISCON,No,Bodily Force,Body Weight to Pin,White,Male,38,Tensed,2,Marcy Holmes
2016/01/21 15:25:16,Unwanted Person ,Yes,DISCON,No,Bodily Force,Joint Lock,White,Male,38,Tensed,2,Marcy Holmes
2016/01/22 20:32:00,Person with a Gun ,No,TLE,No,Bodily Force,Body Weight to Pin,Black,Male,22,Verbal Non-Compliance,4,Lind - Bohanon
2016/01/22 20:32:00,Person with a Gun ,No,TLE,No,Bodily Force,Body Weight to Pin,Black,Female,0,Tensed,4,Lind - Bohanon
2016/01/22 20:32:00,Person with a Gun ,No,TLE,No,Bodily Force,Push Away,Black,Male,22,Verbal Non-Compliance,4,Lind - Bohanon
2016/01/22 23:53:12,ShotSpotter Activation ,Yes,DAMPRP,Yes,Bodily Force,Knees,Black,Male,22,Fled on Foot,4,Willard - Hay
2016/01/22 23:53:12,ShotSpotter Activation ,Yes,DAMPRP,Yes,Bodily Force,Joint Lock,Black,Male,22,Fled on Foot,4,Willard - Hay
2016/01/22 23:53:12,ShotSpotter Activation ,Yes,DAMPRP,Yes,Bodily Force,Body Weight to Pin,Black,Male,22,Fled on Foot,4,Willard - Hay
2016/01/22 23:53:12,ShotSpotter Activation ,Yes,DAMPRP,Yes,Bodily Force,Punches,Black,Male,22,Fled on Foot,4,Willard - Hay
2016/01/22 23:53:12,ShotSpotter Activation ,Yes,DAMPRP,Yes,Bodily Force,Body Weight to Pin,Black,Male,22,Fled on Foot,4,Willard - Hay
2016/01/23 01:07:42,Fight ,No,ASLT4,Yes,Bodily Force,Body Weight to Pin,White,Male,26,Assaulted Officer,1,North Loop
2016/01/23 01:07:42,Fight ,No,ASLT4,Yes,Bodily Force,Body Weight to Pin,White,Male,26,Assaulted Officer,1,North Loop
2016/01/23 01:07:42,Fight ,No,ASLT4,Yes,Bodily Force,Punches,White,Male,26,Assaulted Officer,1,North Loop
2016/01/23 02:57:04,Disturbance ,No,FORCE,No,Chemical Irritant,Personal Mace,Black,Female,20,Commission of Crime,1,Downtown West
2016/01/23 09:46:05,Domestic Abuse-In Progress ,Yes,FLEEFT,No,Gun Point Display,Compliance,Black,Male,32,Fled on Foot,4,Sumner - Glenwood
2016/01/23 09:46:05,Domestic Abuse-In Progress ,Yes,FLEEFT,No,Bodily Force,Body Weight to Pin,Black,Male,32,Fled on Foot,4,Sumner - Glenwood
2016/01/23 09:46:05,Domestic Abuse-In Progress ,Yes,FLEEFT,No,Bodily Force,Punches,Black,Male,32,Fled on Foot,4,Sumner - Glenwood
2016/01/23 23:26:04,Domestic Abuse-In Progress ,No,PRIORI,No,Bodily Force,Body Weight to Pin,White,Female,34,Tensed,4,Folwell
2016/01/23 23:26:04,Domestic Abuse-In Progress ,No,PRIORI,No,Bodily Force,Body Weight to Pin,White,Female,34,Tensed,4,Folwell
2016/01/24 01:36:42,Suspicious Person ,No,DISCON,Yes,Chemical Irritant,Personal Mace,Black,Male,21,Unspecified,5,Lowry Hill East
2016/01/24 02:41:27,Loud Party ,No,PARTY,No,Chemical Irritant,Personal Mace,Black,Male,22,Commission of Crime,2,Marcy Holmes
2016/01/24 02:41:27,Loud Party ,No,PARTY,No,Chemical Irritant,Personal Mace,Other / Mixed Race,Male,18,Commission of Crime,2,Marcy Holmes
2016/01/25 00:38:25,Sound of Shots Fired ,Yes,FLEE,Yes,Police K9 Bite,On Lead,Other / Mixed Race,Male,24,Unspecified,4,Willard - Hay
2016/01/25 11:01:38,Unwanted Person ,Yes,FLEEFT,Yes,Bodily Force,Kicks,Black,Male,16,Fled on Foot,4,Jordan
2016/01/25 11:01:38,Unwanted Person ,Yes,FLEEFT,Yes,Gun Point Display,Compliance,Black,Male,16,Fled on Foot,4,Jordan
2016/01/25 11:01:38,Unwanted Person ,Yes,FLEEFT,Yes,Bodily Force,Body Weight to Pin,White,Male,15,Fled on Foot,4,Jordan
2016/01/25 12:14:58,Fight ,No,ASLT2,No,Bodily Force,Kicks,Black,Male,63,Verbal Non-Compliance,3,Phillips West
2016/01/25 12:14:58,Fight ,No,ASLT2,No,Gun Point Display,Compliance,Black,Male,63,Verbal Non-Compliance,3,Phillips West
2016/01/25 14:18:08,Walk Through a Building ,Yes,OPBOTT,No,Bodily Force,Body Weight to Pin,Black,Male,48,Unspecified,1,Downtown West
2016/01/25 19:09:44,Crim Sex Conduct ,Yes,OBSTRU,Yes,Bodily Force,Joint Lock,White,Male,72,Tensed,3,Seward
2016/01/25 19:09:44,Crim Sex Conduct ,Yes,OBSTRU,Yes,Bodily Force,Body Weight to Pin,White,Male,72,Tensed,3,Seward
2016/01/27 13:09:44,Unwanted Person ,Yes,DISCON,No,Bodily Force,Body Weight to Pin,Black,Male,55,Tensed,2,Audubon Park
2016/01/27 14:24:43,Miscellaneous ,No,OBSTRU,Yes,Chemical Irritant,Personal Mace,NA,NA,0,Unspecified,4,Harrison
2016/01/27 14:24:43,Miscellaneous ,No,OBSTRU,Yes,Chemical Irritant,Crowd Control Mace,Black,Male,15,Commission of Crime,4,Harrison
2016/01/27 14:24:43,Miscellaneous ,No,OBSTRU,Yes,Bodily Force,Body Weight to Pin,Black,Male,14,Tensed,4,Harrison
2016/01/27 14:24:43,Miscellaneous ,No,OBSTRU,Yes,Bodily Force,Body Weight to Pin,Black,Male,17,Commission of Crime,4,Harrison
2016/01/27 14:24:43,Miscellaneous ,No,OBSTRU,Yes,Bodily Force,Body Weight to Pin,Black,Male,17,Commission of Crime,4,Harrison
2016/01/27 14:24:43,Miscellaneous ,No,OBSTRU,Yes,Bodily Force,Knees,Black,Male,17,Commission of Crime,4,Harrison
2016/01/27 14:24:43,Miscellaneous ,No,OBSTRU,Yes,Bodily Force,Knees,Black,Male,17,Commission of Crime,4,Harrison
2016/01/27 14:24:43,Miscellaneous ,No,OBSTRU,Yes,Bodily Force,Punches,Black,Male,17,Commission of Crime,4,Harrison
2016/01/27 14:24:43,Miscellaneous ,No,OBSTRU,Yes,Bodily Force,Punches,Black,Male,17,Commission of Crime,4,Harrison
